customer_id,signup_days_ago,tenure_months,plan_type,monthly_fee,usage_minutes,num_support_calls,contract_type,payment_method,last_active_days_ago,churned,is_premium,support_calls_per_month,recent_activity_flag
C100076,1420,48,standard,40,381,1,monthly,card,1340,0,0,0.021,0
C100077,985,31,basic,20,373,0,monthly,card,434,1,0,0.0,0
C100078,1508,48,standard,40,408,0,monthly,card,695,0,0,0.0,0
C100079,1481,47,standard,40,402,0,monthly,card,817,0,0,0.0,0
C100080,538,17,basic,20,330,0,monthly,card,380,1,0,0.0,0
C100081,805,24,basic,20,357,0,monthly,card,35,0,0,0.0,0
C100082,1996,67,standard,40,438,0,monthly,card,919,0,0,0.0,0
C100083,64,4,basic,20,322,0,monthly,bank_transfer,29,0,0,0.0,0
C100084,235,9,standard,40,333,0,monthly,card,68,0,0,0.0,0
C100085,1134,39,standard,40,366,0,annual,upi,789,0,0,0.0,0
C100086,1985,65,basic,20,456,0,monthly,card,32,0,0,0.0,0
C100087,1615,51,basic,20,403,0,monthly,bank_transfer,580,0,0,0.0,0
C100088,1925,65,basic,20,441,1,monthly,card,351,0,0,0.015,0
C100089,1441,47,basic,20,445,0,monthly,card,254,0,0,0.0,0
C100090,1055,35,standard,40,384,1,monthly,card,1046,0,0,0.029,0
C100091,1051,36,basic,20,375,1,annual,bank_transfer,272,0,0,0.028,0
C100092,1443,49,standard,40,383,0,monthly,bank_transfer,692,0,0,0.0,0
C100093,595,20,basic,20,355,0,monthly,bank_transfer,249,0,0,0.0,0
C100094,1159,40,basic,20,352,0,monthly,card,903,0,0,0.0,0
C100095,1825,61,basic,20,426,1,annual,card,231,1,0,0.016,0
C100096,1875,60,basic,20,403,1,monthly,card,427,1,0,0.017,0
C100097,1530,52,basic,20,381,1,monthly,card,956,0,0,0.019,0
C100098,732,26,basic,20,338,0,monthly,card,633,0,0,0.0,0
C100099,431,15,premium,80,313,0,monthly,card,241,0,1,0.0,0
C100100,759,25,standard,40,370,0,monthly,card,133,1,0,0.0,0
C100101,1609,53,basic,20,429,1,annual,card,1094,1,0,0.019,0
C100102,191,8,basic,20,336,1,monthly,card,89,1,0,0.125,0
C100103,231,5,basic,20,283,0,monthly,bank_transfer,208,0,0,0.0,0
C100104,1025,32,basic,20,361,0,monthly,card,1023,0,0,0.0,0
C100105,299,8,basic,20,317,1,monthly,upi,278,1,0,0.125,0
C100106,1916,65,basic,20,436,3,monthly,card,218,0,0,0.046,0
C100107,845,29,basic,20,392,0,annual,card,696,0,0,0.0,0
C100108,1324,46,basic,20,394,0,annual,bank_transfer,306,0,0,0.0,0
C100109,485,15,basic,20,357,2,monthly,upi,313,1,0,0.133,0
C100110,1515,52,basic,20,399,0,annual,bank_transfer,1426,0,0,0.0,0
C100111,1780,61,standard,40,438,1,monthly,bank_transfer,922,0,0,0.016,0
C100112,1305,42,basic,20,390,0,monthly,bank_transfer,280,0,0,0.0,0
C100113,1046,32,basic,20,375,3,monthly,bank_transfer,34,0,0,0.094,0
C100114,1755,59,standard,40,423,0,monthly,bank_transfer,69,0,0,0.0,0
C100115,325,9,premium,80,330,0,monthly,upi,177,0,1,0.0,0
C100116,1778,59,premium,80,429,0,monthly,card,407,0,1,0.0,0
C100117,749,22,standard,40,343,0,annual,upi,560,0,0,0.0,0
C100118,1802,60,basic,20,370,2,monthly,card,579,1,0,0.033,0
C100119,367,10,standard,40,300,0,monthly,upi,6,0,0,0.0,1
C100120,908,31,standard,40,350,0,annual,card,605,0,0,0.0,0
C100121,1106,37,basic,20,350,0,annual,card,80,0,0,0.0,0
C100122,821,29,standard,40,334,0,monthly,upi,437,0,0,0.0,0
C100123,1975,65,premium,80,427,0,monthly,card,249,0,1,0.0,0
C100124,246,6,basic,20,317,0,annual,bank_transfer,37,0,0,0.0,0
C100125,793,27,basic,20,351,1,annual,card,44,0,0,0.037,0
C100126,217,6,basic,20,328,0,monthly,card,102,0,0,0.0,0
C100127,409,14,basic,20,326,1,monthly,upi,136,0,0,0.071,0
C100128,522,16,basic,20,335,1,annual,card,460,0,0,0.062,0
C100129,1094,34,standard,40,378,1,monthly,bank_transfer,366,1,0,0.029,0
C100130,1210,41,standard,40,383,0,monthly,card,228,1,0,0.0,0
C100131,44,2,basic,20,299,0,monthly,bank_transfer,18,0,0,0.0,0
C100132,1866,60,premium,80,405,1,monthly,bank_transfer,837,0,1,0.017,0
C100133,94,4,basic,20,304,0,monthly,bank_transfer,75,0,0,0.0,0
C100134,1910,62,basic,20,436,0,monthly,upi,974,0,0,0.0,0
C100135,1892,64,standard,40,434,0,monthly,card,622,0,0,0.0,0
C100136,550,18,standard,40,312,0,monthly,bank_transfer,67,0,0,0.0,0
C100137,1397,48,standard,40,399,2,monthly,bank_transfer,868,0,0,0.042,0
C100138,1182,38,premium,80,388,0,monthly,card,549,0,1,0.0,0
C100139,677,22,standard,40,335,0,monthly,card,304,0,0,0.0,0
C100140,1525,48,premium,80,370,0,monthly,bank_transfer,603,0,1,0.0,0
C100141,1116,36,basic,20,369,0,monthly,bank_transfer,754,1,0,0.0,0
C100142,1192,41,standard,40,403,1,monthly,card,627,1,0,0.024,0
C100143,1552,53,premium,80,407,0,monthly,card,1015,0,1,0.0,0
C100144,622,18,standard,40,354,1,monthly,card,94,0,0,0.056,0
C100145,421,12,basic,20,321,0,monthly,card,212,0,0,0.0,0
C100146,1728,56,standard,40,427,1,annual,card,1269,1,0,0.018,0
C100147,448,15,standard,40,341,1,monthly,card,172,0,0,0.067,0
C100148,318,8,basic,20,345,0,monthly,card,284,1,0,0.0,0
C100149,408,14,premium,80,310,0,monthly,upi,78,0,1,0.0,0
C100150,1826,60,basic,20,433,0,monthly,bank_transfer,1456,0,0,0.0,0
C100151,1543,53,basic,20,387,0,monthly,card,1303,1,0,0.0,0
C100152,260,9,premium,80,309,1,monthly,card,148,0,1,0.111,0
C100153,1047,36,basic,20,352,0,monthly,bank_transfer,368,0,0,0.0,0
C100154,70,3,basic,20,326,2,monthly,bank_transfer,22,0,0,0.667,0
C100155,1081,36,standard,40,363,0,monthly,bank_transfer,350,0,0,0.0,0
C100156,164,3,standard,40,317,0,annual,bank_transfer,155,0,0,0.0,0
C100157,230,7,basic,20,273,0,monthly,card,159,1,0,0.0,0
C100158,1893,61,premium,80,400,1,monthly,card,405,0,1,0.016,0
C100159,809,24,standard,40,374,1,monthly,bank_transfer,445,0,0,0.042,0
C100160,959,33,standard,40,368,0,monthly,card,322,0,0,0.0,0
C100161,1086,36,standard,40,378,0,monthly,card,629,1,0,0.0,0
C100162,1101,37,standard,40,360,0,monthly,card,72,0,0,0.0,0
C100163,532,17,basic,20,357,0,monthly,card,517,0,0,0.0,0
C100164,436,16,basic,20,352,1,monthly,card,320,1,0,0.062,0
C100165,1627,52,standard,40,399,0,annual,card,21,0,0,0.0,0
C100166,1781,61,standard,40,432,0,monthly,card,178,0,0,0.0,0
C100167,834,26,basic,20,360,0,monthly,card,707,0,0,0.0,0
C100168,128,3,standard,40,280,0,monthly,upi,108,0,0,0.0,0
C100169,713,24,standard,40,343,1,monthly,bank_transfer,371,0,0,0.042,0
C100170,1925,66,basic,20,428,1,monthly,bank_transfer,1720,0,0,0.015,0
C100171,755,26,basic,20,371,0,annual,card,455,0,0,0.0,0
C100172,1600,54,basic,20,403,1,monthly,card,1590,1,0,0.019,0
C100173,990,32,standard,40,366,0,monthly,card,228,0,0,0.0,0
C100174,1792,60,basic,20,422,1,monthly,card,937,1,0,0.017,0
C100175,642,20,basic,20,349,0,monthly,card,530,0,0,0.0,0
C100176,1996,64,standard,40,399,0,monthly,card,363,0,0,0.0,0
C100177,1515,52,standard,40,381,0,annual,card,424,1,0,0.0,0
C100178,672,23,basic,20,347,0,annual,upi,215,0,0,0.0,0
C100179,1822,59,basic,20,394,0,annual,bank_transfer,1071,0,0,0.0,0
C100180,1058,35,standard,40,388,0,monthly,card,671,0,0,0.0,0
C100181,1271,43,premium,80,409,0,monthly,bank_transfer,1053,0,1,0.0,0
C100182,532,15,premium,80,314,1,annual,card,189,0,1,0.067,0
C100183,796,24,standard,40,376,0,annual,bank_transfer,151,0,0,0.0,0
C100184,427,14,basic,20,319,0,annual,card,375,0,0,0.0,0
C100185,900,29,basic,20,367,0,annual,card,254,0,0,0.0,0
C100186,824,28,basic,20,345,0,monthly,bank_transfer,702,0,0,0.0,0
C100187,422,13,basic,20,334,0,monthly,card,141,0,0,0.0,0
C100188,236,5,standard,40,304,1,monthly,upi,33,0,0,0.2,0
C100189,1068,34,basic,20,353,0,monthly,card,186,0,0,0.0,0
C100190,1911,61,basic,20,411,0,monthly,bank_transfer,878,0,0,0.0,0
C100191,1607,52,premium,80,417,0,annual,card,1472,0,1,0.0,0
C100192,921,30,basic,20,343,0,annual,card,85,0,0,0.0,0
C100193,1514,52,basic,20,402,0,monthly,bank_transfer,672,0,0,0.0,0
C100194,1744,58,basic,20,425,0,monthly,bank_transfer,875,0,0,0.0,0
C100195,1628,54,standard,40,383,0,monthly,bank_transfer,117,1,0,0.0,0
C100196,893,31,standard,40,363,0,monthly,card,622,0,0,0.0,0
C100197,772,27,basic,20,366,0,monthly,card,57,0,0,0.0,0
C100198,1294,44,standard,40,383,0,monthly,card,1041,0,0,0.0,0
C100199,593,20,standard,40,325,1,monthly,card,139,0,0,0.05,0
C100200,1050,35,standard,40,374,1,monthly,bank_transfer,457,0,0,0.029,0
C100201,125,4,premium,80,292,0,monthly,card,65,0,1,0.0,0
C100202,1953,63,standard,40,409,0,monthly,bank_transfer,641,0,0,0.0,0
C100203,1787,57,standard,40,423,0,monthly,card,965,1,0,0.0,0
C100204,514,18,basic,20,339,0,annual,card,211,0,0,0.0,0
C100205,1460,49,basic,20,455,0,monthly,card,485,1,0,0.0,0
C100206,260,6,basic,20,308,1,monthly,card,119,0,0,0.167,0
C100207,778,23,standard,40,345,0,monthly,card,553,0,0,0.0,0
C100208,1708,55,standard,40,422,0,annual,card,1026,0,0,0.0,0
C100209,1224,39,standard,40,375,0,monthly,bank_transfer,1001,0,0,0.0,0
C100210,570,17,basic,20,337,2,monthly,upi,342,0,0,0.118,0
C100211,1089,35,standard,40,353,0,annual,bank_transfer,1080,0,0,0.0,0
C100212,554,20,premium,80,303,1,monthly,card,215,1,1,0.05,0
C100213,1213,41,standard,40,379,0,monthly,card,1137,0,0,0.0,0
C100214,1892,64,standard,40,441,1,monthly,card,1726,0,0,0.016,0
C100215,1752,56,standard,40,427,0,annual,card,293,0,0,0.0,0
C100216,1296,43,premium,80,399,2,monthly,card,27,0,1,0.047,0
C100217,1139,35,standard,40,362,0,annual,upi,858,0,0,0.0,0
C100218,1849,60,standard,40,446,3,monthly,card,1344,0,0,0.05,0
C100219,607,20,basic,20,332,1,monthly,card,572,0,0,0.05,0
C100220,711,22,basic,20,289,0,monthly,upi,696,0,0,0.0,0
C100221,586,21,standard,40,339,0,monthly,card,512,0,0,0.0,0
C100222,1627,53,basic,20,395,1,annual,bank_transfer,927,0,0,0.019,0
C100223,1042,36,premium,80,369,1,annual,bank_transfer,396,0,1,0.028,0
C100224,675,24,basic,20,381,0,annual,card,16,0,0,0.0,0
C100225,825,26,premium,80,378,0,annual,bank_transfer,600,0,1,0.0,0
C100226,1081,35,basic,20,362,1,monthly,card,1075,0,0,0.029,0
C100227,1673,57,basic,20,410,1,annual,bank_transfer,369,0,0,0.018,0
C100228,1609,53,premium,80,429,1,monthly,card,163,0,1,0.019,0
C100229,1393,48,basic,20,414,0,monthly,card,1326,0,0,0.0,0
C100230,1851,62,basic,20,415,2,monthly,bank_transfer,449,0,0,0.032,0
C100231,1384,48,basic,20,381,0,monthly,card,543,0,0,0.0,0
C100232,1693,56,standard,40,416,1,annual,bank_transfer,709,0,0,0.018,0
C100233,1559,52,basic,20,420,1,monthly,card,1525,0,0,0.019,0
C100234,1401,44,standard,40,379,1,annual,bank_transfer,350,0,0,0.023,0
C100235,1526,48,standard,40,419,1,monthly,card,378,0,0,0.021,0
C100236,1284,42,standard,40,369,0,annual,upi,200,0,0,0.0,0
C100237,219,9,standard,40,335,0,monthly,card,106,0,0,0.0,0
C100238,1278,41,standard,40,356,2,monthly,card,504,0,0,0.049,0
C100239,1438,47,basic,20,392,0,monthly,bank_transfer,1011,0,0,0.0,0
C100240,1430,48,standard,40,380,1,monthly,upi,1407,0,0,0.021,0
C100241,1336,45,basic,20,405,0,monthly,upi,1319,0,0,0.0,0
C100242,662,20,standard,40,350,2,monthly,card,27,0,0,0.1,0
C100243,657,22,basic,20,374,0,monthly,bank_transfer,336,0,0,0.0,0
C100244,1002,33,premium,80,383,0,monthly,card,286,0,1,0.0,0
C100245,1798,60,basic,20,411,1,monthly,bank_transfer,630,0,0,0.017,0
C100246,1312,43,basic,20,401,1,monthly,card,1054,1,0,0.023,0
C100247,1412,46,standard,40,396,2,annual,card,665,0,0,0.043,0
C100248,739,22,standard,40,381,0,monthly,upi,486,0,0,0.0,0
C100249,1509,51,basic,20,419,0,annual,upi,1274,1,0,0.0,0
C100250,1464,48,standard,40,390,1,monthly,bank_transfer,1386,1,0,0.021,0
C100251,678,24,standard,40,345,0,annual,bank_transfer,106,0,0,0.0,0
C100252,347,9,premium,80,292,0,monthly,bank_transfer,116,0,1,0.0,0
C100253,1730,56,standard,40,404,0,monthly,card,1268,0,0,0.0,0
C100254,1278,42,basic,20,403,0,monthly,bank_transfer,78,0,0,0.0,0
C100255,1872,61,basic,20,418,0,monthly,bank_transfer,740,0,0,0.0,0
C100256,1287,41,premium,80,383,0,monthly,card,22,0,1,0.0,0
C100257,713,24,standard,40,351,0,monthly,bank_transfer,196,0,0,0.0,0
C100258,693,24,basic,20,349,0,monthly,bank_transfer,360,0,0,0.0,0
C100259,1880,62,basic,20,421,0,monthly,upi,699,0,0,0.0,0
C100260,1427,49,standard,40,429,1,monthly,card,216,0,0,0.02,0
C100261,1725,57,basic,20,432,1,monthly,card,989,0,0,0.018,0
C100262,1661,57,basic,20,441,0,monthly,upi,706,0,0,0.0,0
C100263,1525,49,basic,20,385,1,monthly,card,627,1,0,0.02,0
C100264,1286,40,basic,20,408,0,monthly,bank_transfer,1219,0,0,0.0,0
C100265,1745,58,basic,20,415,0,monthly,upi,566,1,0,0.0,0
C100266,1166,38,standard,40,358,0,monthly,bank_transfer,442,0,0,0.0,0
C100267,1883,64,basic,20,453,1,monthly,upi,1482,0,0,0.016,0
C100268,1550,50,basic,20,411,0,monthly,card,458,0,0,0.0,0
C100269,471,14,basic,20,334,1,monthly,card,143,1,0,0.071,0
C100270,593,21,basic,20,364,0,annual,card,313,0,0,0.0,0
C100271,1321,43,basic,20,363,1,monthly,bank_transfer,874,0,0,0.023,0
C100272,1563,53,basic,20,415,2,monthly,card,728,1,0,0.038,0
C100273,1860,60,standard,40,411,0,monthly,bank_transfer,1280,0,0,0.0,0
C100274,1439,47,basic,20,392,0,annual,card,638,1,0,0.0,0
C100275,1440,46,basic,20,384,1,monthly,upi,473,0,0,0.022,0
C100276,1166,38,basic,20,374,2,monthly,card,684,0,0,0.053,0
C100277,1666,56,standard,40,399,1,monthly,card,605,0,0,0.018,0
C100278,1678,54,premium,80,401,1,monthly,bank_transfer,1522,1,1,0.019,0
C100279,981,34,basic,20,350,1,monthly,bank_transfer,901,0,0,0.029,0
C100280,1134,38,premium,80,343,0,monthly,card,274,0,1,0.0,0
C100281,728,22,basic,20,349,0,annual,upi,671,0,0,0.0,0
C100282,142,6,standard,40,313,0,annual,card,64,0,0,0.0,0
C100283,31,1,basic,20,275,0,annual,card,24,0,0,0.0,0
C100284,671,23,standard,40,324,0,monthly,card,558,0,0,0.0,0
C100285,249,10,standard,40,320,0,monthly,bank_transfer,140,0,0,0.0,0
C100286,1619,54,basic,20,414,1,monthly,card,1097,0,0,0.019,0
C100287,884,30,standard,40,375,1,annual,bank_transfer,675,0,0,0.033,0
C100288,1789,58,standard,40,400,0,monthly,card,709,0,0,0.0,0
C100289,1278,42,basic,20,375,0,annual,card,922,0,0,0.0,0
C100290,414,15,basic,20,373,0,annual,card,327,0,0,0.0,0
C100291,1456,47,basic,20,380,1,monthly,upi,407,1,0,0.021,0
C100292,1691,57,standard,40,427,1,monthly,bank_transfer,147,0,0,0.018,0
C100293,1183,38,standard,40,343,1,monthly,card,1109,1,0,0.026,0
C100294,1106,36,basic,20,388,0,monthly,card,502,0,0,0.0,0
C100295,1737,59,standard,40,421,2,monthly,card,231,1,0,0.034,0
C100296,759,25,premium,80,306,2,monthly,bank_transfer,497,0,1,0.08,0
C100297,1725,55,standard,40,434,0,monthly,card,422,1,0,0.0,0
C100298,1763,60,standard,40,426,2,monthly,card,1490,1,0,0.033,0
C100299,1469,48,standard,40,403,0,monthly,card,246,0,0,0.0,0
C100300,276,10,basic,20,332,0,annual,bank_transfer,0,0,0,0.0,1
C100301,865,30,basic,20,365,0,monthly,card,778,0,0,0.0,0
C100302,1492,51,standard,40,394,0,monthly,card,104,0,0,0.0,0
C100303,232,6,basic,20,337,0,monthly,bank_transfer,201,0,0,0.0,0
C100304,1237,42,premium,80,390,0,monthly,card,474,1,1,0.0,0
C100305,152,3,basic,20,316,2,monthly,bank_transfer,80,0,0,0.667,0
C100306,430,14,basic,20,325,2,monthly,card,122,0,0,0.143,0
C100307,796,25,premium,80,334,1,monthly,card,171,0,1,0.04,0
C100308,323,10,standard,40,310,0,monthly,card,306,0,0,0.0,0
C100309,309,8,basic,20,341,0,monthly,bank_transfer,272,0,0,0.0,0
C100310,1890,61,standard,40,418,0,monthly,card,758,0,0,0.0,0
C100311,913,32,standard,40,388,0,monthly,card,874,0,0,0.0,0
C100312,1663,53,standard,40,400,1,monthly,card,1217,1,0,0.019,0
C100313,227,7,basic,20,312,1,annual,card,111,0,0,0.143,0
C100314,1011,34,standard,40,392,1,monthly,card,22,0,0,0.029,0
C100315,1960,66,premium,80,439,0,annual,card,936,0,1,0.0,0
C100316,1564,54,basic,20,396,0,monthly,card,314,0,0,0.0,0
C100317,781,26,premium,80,362,1,monthly,card,201,0,1,0.038,0
C100318,173,5,premium,80,270,0,monthly,card,105,0,1,0.0,0
C100319,638,19,standard,40,315,0,annual,card,605,0,0,0.0,0
C100320,1254,41,standard,40,364,0,annual,card,994,0,0,0.0,0
C100321,1177,38,basic,20,395,1,monthly,card,24,1,0,0.026,0
C100322,216,5,basic,20,320,0,annual,card,144,1,0,0.0,0
C100323,1379,44,standard,40,410,1,monthly,bank_transfer,530,0,0,0.023,0
C100324,493,18,premium,80,344,0,monthly,bank_transfer,209,1,1,0.0,0
C100325,1402,47,standard,40,423,0,monthly,card,45,0,0,0.0,0
C100326,1824,62,standard,40,409,0,monthly,bank_transfer,1058,0,0,0.0,0
C100327,689,23,basic,20,388,0,monthly,upi,201,0,0,0.0,0
C100328,793,28,basic,20,351,0,monthly,card,534,0,0,0.0,0
C100329,984,32,basic,20,380,0,annual,card,364,1,0,0.0,0
C100330,1985,65,basic,20,445,1,monthly,upi,469,1,0,0.015,0
C100331,432,15,standard,40,317,1,annual,bank_transfer,299,1,0,0.067,0
C100332,1399,44,basic,20,358,0,monthly,bank_transfer,776,1,0,0.0,0
C100333,1564,51,standard,40,381,0,monthly,card,415,0,0,0.0,0
C100334,176,3,basic,20,302,0,monthly,card,89,1,0,0.0,0
C100335,1201,39,standard,40,418,0,monthly,card,698,0,0,0.0,0
C100336,893,28,standard,40,378,1,annual,bank_transfer,809,0,0,0.036,0
C100337,1764,60,basic,20,430,0,monthly,card,189,0,0,0.0,0
C100338,1873,63,basic,20,398,0,monthly,bank_transfer,1426,1,0,0.0,0
C100339,518,18,basic,20,338,1,monthly,upi,348,0,0,0.056,0
C100340,958,30,premium,80,383,0,annual,card,372,0,1,0.0,0
C100341,1989,66,basic,20,434,1,monthly,card,1662,1,0,0.015,0
C100342,1693,56,standard,40,388,0,annual,bank_transfer,1528,0,0,0.0,0
C100343,580,17,premium,80,311,2,monthly,card,290,0,1,0.118,0
C100344,367,10,standard,40,324,0,monthly,upi,110,0,0,0.0,0
C100345,901,32,basic,20,366,0,monthly,bank_transfer,554,0,0,0.0,0
C100346,670,21,premium,80,349,0,monthly,card,502,0,1,0.0,0
C100347,1832,59,basic,20,420,0,monthly,card,1324,0,0,0.0,0
C100348,502,14,basic,20,310,1,monthly,bank_transfer,133,0,0,0.071,0
C100349,1999,65,premium,80,439,0,monthly,card,1036,0,1,0.0,0
C100350,180,8,standard,40,293,0,monthly,card,10,0,0,0.0,1
C100351,1468,46,basic,20,380,0,monthly,card,1125,0,0,0.0,0
C100352,1351,47,basic,20,389,0,annual,bank_transfer,196,0,0,0.0,0
C100353,1664,56,basic,20,423,0,monthly,card,1414,0,0,0.0,0
C100354,292,11,standard,40,324,1,monthly,bank_transfer,54,1,0,0.091,0
C100355,1817,60,basic,20,454,0,monthly,card,182,0,0,0.0,0
C100356,173,5,premium,80,298,0,monthly,card,18,0,1,0.0,0
C100357,375,14,premium,80,325,0,monthly,card,362,0,1,0.0,0
C100358,653,21,premium,80,343,0,annual,card,472,0,1,0.0,0
C100359,1046,35,basic,20,378,2,monthly,upi,8,1,0,0.057,1
C100360,1625,53,standard,40,372,1,monthly,upi,659,0,0,0.019,0
C100361,910,30,premium,80,353,0,monthly,card,24,0,1,0.0,0
C100362,31,1,premium,80,290,1,monthly,card,17,0,1,1.0,0
C100363,926,32,basic,20,364,0,monthly,upi,583,0,0,0.0,0
C100364,1357,46,basic,20,398,0,annual,card,1080,0,0,0.0,0
C100365,283,8,basic,20,320,0,monthly,card,21,0,0,0.0,0
C100366,1705,58,standard,40,373,0,annual,card,823,0,0,0.0,0
C100367,482,18,standard,40,334,0,monthly,bank_transfer,35,0,0,0.0,0
C100368,1090,37,standard,40,372,0,monthly,card,67,0,0,0.0,0
C100369,1213,39,basic,20,394,1,monthly,bank_transfer,1024,0,0,0.026,0
C100370,1044,35,basic,20,363,0,monthly,card,47,0,0,0.0,0
C100371,38,1,basic,20,314,0,monthly,card,32,1,0,0.0,0
C100372,1286,43,basic,20,402,1,monthly,card,944,0,0,0.023,0
